ID,rtable_Rank,rtable_Book_Title,rtable_Author,ltable_Rank,ltable_Book_Title,ltable_Author
0,518,Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,1415,Demian,Hermann Hesse
1,2001,These Happy Golden Years (Little House  #8),Laura Ingalls Wilder,1016,Little House on the Prairie,Laura Ingalls Wilder
2,1873,Os Maias,Ea de Queir—s,1179,The Maias: Episodes from Romantic Life,Ea de Queir—s
3,2172,The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus,171,Oresteia,Aeschylus
4,1689,Thud! (Discworld  #34; City Watch  #7),Terry Pratchett,2372,Night Watch,Terry Pratchett
5,1127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,628,The Tipping Point,Malcolm Gladwell
6,1075,Guards! Guards! (Discworld  #8; City Watch  #1),Terry Pratchett,2372,Night Watch,Terry Pratchett
7,569,Oedipus Rex  (The Theban Plays  #1),Sophocles,63,Oedipus the King,Sophocles
8,1305,Pedro P‡ramo,Juan Rulfo,286,Pedro Paramo,Juan Rulfo
9,1141,The Gormenghast Novels (Gormenghast  #1-3),Mervyn Peake,845,Gormenghast,Mervyn Peake
10,675,Ender's Shadow (The Shadow Series  #1),Orson Scott Card,725,Ender's Game,Orson Scott Card
11,247,The Crucible: A Play in Four Acts,Arthur Miller,1294,The Crucible,Arthur Miller
12,1743,Xenocide (Ender's Saga  #3),Orson Scott Card,725,Ender's Game,Orson Scott Card
13,2119,Bitterblue (Graceling Realm  #3),Kristin Cashore,2424,Graceling,Kristin Cashore
14,691,Antigone (The Theban Plays  #3),Sophocles,86,Antigone,Sophocles
15,208,The Girl Who Played with Fire (Millennium  #2),Stieg Larsson,2445,The Girl with the Dragon Tattoo,Stieg Larsson
16,149,The Little House Collection (Little House  #1-9),Laura Ingalls Wilder,1016,Little House on the Prairie,Laura Ingalls Wilder
17,348,Blood Meridian  or  the Evening Redness in the West,Cormac McCarthy,159,Blood Meridian,Cormac McCarthy
18,772,A Study in Scarlet (Sherlock Holmes  #1),Arthur Conan Doyle,133,The Complete Sherlock Holmes,Arthur Conan Doyle
19,1994,Legend (The Drenai Saga  #1),David Gemmell,1859,Legend,David Gemmell
20,374,The Chosen (Reuven Malther  #1),Chaim Potok,2413,The Chosen,Chaim Potok
21,1415,Doomsday Book (Oxford Time Travel  #1),Connie Willis,1437,Doomsday Book,Connie Willis
22,719,Fire (Graceling Realm  #2),Kristin Cashore,2424,Graceling,Kristin Cashore
23,498,Trainspotting (Mark Renton  #2),Irvine Welsh,2373,Trainspotting,Irvine Welsh
24,1757,Second Foundation (Foundation  #3),Isaac Asimov,371,Foundation,Isaac Asimov
25,371,Faust  First Part,Johann Wolfgang von Goethe,95,Faust,Johann Wolfgang von Goethe
26,386,Neuromancer (Sprawl  #1),William Gibson,564,Neuromancer,William Gibson
27,852,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,1010,The Dispossessed,Ursula K. Le Guin
28,559,1Q84 (1Q84  #1-3),Haruki Murakami,981,1Q84,Haruki Murakami
29,2242,Life After Life (Todd Family  #1),Kate Atkinson,493,Life After Life,Kate Atkinson
30,1666,The Physician (Cole Family Trilogy  #1),Noah Gordon,1352,The Physician,Noah Gordon
31,1866,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,192,The Long Goodbye: A Novel,Raymond Chandler
32,2084,Master & Commander (Aubrey & Maturin  #1),Patrick O'Brian,917,Master and Commander,Patrick O'Brian
33,246,HowlÕs Moving Castle (HowlÕs Moving Castle  #1),Diana Wynne Jones,1271,Howl's Moving Castle,Diana Wynne Jones
34,1240,Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,369,Labyrinths,Jorge Luis Borges
35,2019,Dune Messiah (Dune  #2),Frank Herbert,132,Dune,Frank Herbert
36,2021,A Memory of Light (The Wheel of Time  #14),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
37,1543,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,1720,Fast Food Nation,Eric Schlosser
38,2335,Towers of Midnight (The Wheel of Time  #13),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
39,1041,The Dragon Reborn (The Wheel of Time #3),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
40,601,Night Watch (Discworld  #29; City Watch  #6),Terry Pratchett,2372,Night Watch,Terry Pratchett
41,1362,The Gathering Storm (The Wheel of Time  #12),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
42,1213,The Life and Opinions of Tristram Shandy  Gentleman,Laurence Sterne,56,Tristram Shandy,Laurence Sterne
43,1241,The Shadow Rising (The Wheel of Time  #4),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
44,1812,The Daughter of Time (Inspector Alan Grant  #5),Josephine Tey,943,The Daughter of Time,Josephine Tey
45,1919,Lord of Chaos (The Wheel of Time  #6),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
46,64,Dune (Dune  #1),Frank Herbert,132,Dune,Frank Herbert
47,2322,A Bright Shining Lie: John Paul Vann and America in Vietnam,Neil Sheehan,849,A Bright Shining Lie,Neil Sheehan
48,1256,The Ballad of Songbirds and Snakes (The Hunger Games  #0),Suzanne Collins,507,The Hunger Games,Suzanne Collins
49,724,Orlando,Virginia Woolf,112,Orlando: A Biography,Virginia Woolf
50,1273,Freedom,Jonathan Franzen,428,Freedom: A Novel,Jonathan Franzen
51,2356,The Fires of Heaven (The Wheel of Time  #5),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
52,93,Angela's Ashes (Frank McCourt  #1),Frank McCourt,474,Angela's Ashes: A Memoir,Frank McCourt
53,1697,2666,Roberto Bola–o,172,2666,Roberto Bola–o
54,961,GiovanniÕs Room,James Baldwin,505,Giovanni's Room,James Baldwin
55,319,The Amber Spyglass (His Dark Materials  #3),Philip Pullman,1600,The Amber Spyglass,Philip Pullman
56,390,I  Robot (Robot  #0.1),Isaac Asimov,951,I  Robot,Isaac Asimov
57,1449,A Suitable Boy (A Bridge of Leaves  #1),Vikram Seth,376,A Suitable Boy,Vikram Seth
58,1110,The Complete Fairy Tales,Hans Christian Andersen,152,Fairy Tales and Stories,Hans Christian Andersen
59,227,SchindlerÕs List,Thomas Keneally,436,Schindler's List,Thomas Keneally
60,299,Uncle TomÕs Cabin,Harriet Beecher Stowe,521,Uncle Tom's Cabin,Harriet Beecher Stowe
61,2076,Heart of Darkness and The Secret Sharer,Joseph Conrad,21,Heart of Darkness,Joseph Conrad
62,1259,The Great Hunt (The Wheel of Time #2),Robert Jordan,1324,The Wheel of Time Series,Robert Jordan
63,537,The Bean Trees (Greer Family  #1),Barbara Kingsolver,914,The Bean Trees,Barbara Kingsolver
64,1991,Psycho (Psycho  #1),Robert Bloch,2296,Psycho,Robert Bloch
65,916,Collected Fictions,Jorge Luis Borges,66,Fictions,Jorge Luis Borges
66,334,My çntonia,Willa Cather,146,My Antonia,Willa Cather
67,1349,The Sign of Four (Sherlock Holmes  #2),Arthur Conan Doyle,133,The Complete Sherlock Holmes,Arthur Conan Doyle
68,1268,AesopÕs Fables,Aesop,718,Aesop's Fables,Aesop
69,235,The Iliad / The Odyssey,Homer,16,The Odyssey,Homer
70,1351,Wolf Hall (Thomas Cromwell  #1),Hilary Mantel,216,Wolf Hall,Hilary Mantel
71,181,The Hunger Games Trilogy Boxset (The Hunger Games  #1-3),Suzanne Collins,507,The Hunger Games,Suzanne Collins
72,1539,PortnoyÕs Complaint,Philip Roth,236,Portnoy's Complaint,Philip Roth
73,2232,V.,Thomas Pynchon,961,V,Thomas Pynchon
74,107,Moby-Dick or  The Whale,Herman Melville,6,Moby Dick,Herman Melville
75,1387,Americanah,Chimamanda Ngozi Adichie,314,Americanah,Chimamanda Ngozi Adichie
