Rank,Book_Title,Author
1,Ulysses,James Joyce
2,One Hundred Years of Solitude,Gabriel Garcia Marquez
3,In Search of Lost Time,Marcel Proust
4,Don Quixote,Miguel de Cervantes
5,The Great Gatsby,F. Scott Fitzgerald
6,Moby Dick,Herman Melville
7,War and Peace,Leo Tolstoy
8,The Catcher in the Rye,J. D. Salinger
9,Alice's Adventures in Wonderland,Lewis Carroll
10,Crime and Punishment,Fyodor Dostoevsky
11,Pride and Prejudice,Jane Austen
12,The Divine Comedy,Dante Alighieri
13,Wuthering Heights,Emily Bront‘
14,Lolita,Vladimir Nabokov
15,The Bible,Christian Church
16,The Odyssey,Homer
17,Nineteen Eighty Four,George Orwell
18,The Adventures of Huckleberry Finn,Mark Twain
19,The Brothers Karamazov,Fyodor Dostoevsky
20,Madame Bovary,Gustave Flaubert
21,Heart of Darkness,Joseph Conrad
22,Anna Karenina,Leo Tolstoy
23,Catch-22,Joseph Heller
24,The Iliad,Homer
25,To Kill a Mockingbird,Harper Lee
26,The Grapes of Wrath,John Steinbeck
27,The Sound and the Fury,William Faulkner
28,Invisible Man,Ralph Ellison
29,One Thousand and One Nights,
30,The Stranger,Albert Camus
31,To the Lighthouse,Virginia Woolf
32,Great Expectations,Charles Dickens
33,Beloved,Toni Morrison
34,Midnight's Children,Salman Rushdie
35,The Trial,Franz Kafka
36,Middlemarch,George Eliot
37,Gulliver's Travels,Jonathan Swift
38,Jane Eyre,Charlotte Bronte
39,The Lord of the Rings,J. R. R. Tolkien
40,Absalom  Absalom!,William Faulkner
41,Candide,Voltaire
42,David Copperfield,Charles Dickens
43,The Aeneid,Virgil
44,Leaves of Grass,Walt Whitman
45,Mrs. Dalloway,Virginia Woolf
46,The Red and the Black,Stendhal
47,Frankenstein,Mary Shelley
48,The Stories of Anton Chekhov,Anton Chekhov
49,The Magic Mountain,Thomas Mann
50,Things Fall Apart,Chinua Achebe
51,The Sun Also Rises,Ernest Hemingway
52,Brave New World,Aldous Huxley
53,Lord of the Flies,William Golding
54,For Whom the Bell Tolls,Ernest Hemingway
55,The Color Purple,Alice Walker
56,Tristram Shandy,Laurence Sterne
57,A Passage to India,E. M. Forster
58,A Portrait of the Artist as a Young Man,James Joyce
59,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe
60,Les MisŽrables,Victor Hugo
61,The Old Man and the Sea,Ernest Hemingway
62,Gone With the Wind,Margaret Mitchell
63,Oedipus the King,Sophocles
64,Essays,Michel de Montaigne
65,First Folio,William Shakespeare
66,Fictions,Jorge Luis Borges
67,The Idiot,Fyodor Dostoevsky
68,Walden,Henry David Thoreau
69,On the Road,Jack Kerouac
70,The Canterbury Tales,Geoffrey Chaucer
71,The Little Prince,Antoine de Saint-ExupŽry
72,Charlotte's Web,E. B. White
73,The Portrait of a Lady,Henry James
74,The Age of Innocence,Edith Wharton
75,The Prince,Niccolo Machiavelli
76,A Farewell to Arms,Ernest Hemingway
77,Slaughterhouse-Five,Kurt Vonnegut
78,As I Lay Dying,William Faulkner
79,Animal Farm,George Orwell
80,Franz Kafka: The Complete Stories,Franz Kafka
81,Their Eyes Were Watching God,Zora Neale Hurston
82,The Possessed,Fyodor Dostoevsky
83,The Master and Margarita,Mikhail Bulgakov
84,The Metamorphosis,Franz Kafka
85,Paradise Lost,John Milton
86,Antigone,Sophocles
87,Emma,Jane Austen
88,Harry Potter And The Philosopher's Stone,J. K Rowling
89,Dead Souls,Nikolai Gogol
90,Waiting for Godot,Samuel Beckett
91,Native Son,Richard Wright
92,Rebecca,Daphne du Maurier
93,The Scarlet Letter,Nathaniel Hawthorne
94,Vanity Fair,William Makepeace Thackeray
95,Faust,Johann Wolfgang von Goethe
96,Confessions,Augustine
97,A Clockwork Orange,Anthony Burgess
98,The Tin Drum,GŸnter Grass
99,Treasure Island,Robert Louis Stevenson
100,Love in the Time of Cholera,Gabriel Garcia Marquez
101,The Castle,Franz Kafka
102,Pale Fire,Vladimir Nabokov
103,Robinson Crusoe,Daniel Defoe
