ID,rtable_Rank,rtable_Book_Title,rtable_Author,ltable_Rank,ltable_Book_Title,ltable_Author
0,518.0,Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,1415.0,Demian,Hermann Hesse
1,2001.0,These Happy Golden Years (Little House  #8),Laura Ingalls Wilder,1016.0,Little House on the Prairie,Laura Ingalls Wilder
2,1873.0,Os Maias,Ea de Queir—s,1179.0,The Maias: Episodes from Romantic Life,Ea de Queir—s
3,2172.0,The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus,171.0,Oresteia,Aeschylus
4,1689.0,Thud! (Discworld  #34; City Watch  #7),Terry Pratchett,2372.0,Night Watch,Terry Pratchett
5,1127.0,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,628.0,The Tipping Point,Malcolm Gladwell
6,1075.0,Guards! Guards! (Discworld  #8; City Watch  #1),Terry Pratchett,2372.0,Night Watch,Terry Pratchett
7,569.0,Oedipus Rex  (The Theban Plays  #1),Sophocles,63.0,Oedipus the King,Sophocles
8,1305.0,Pedro P‡ramo,Juan Rulfo,286.0,Pedro Paramo,Juan Rulfo
9,1141.0,The Gormenghast Novels (Gormenghast  #1-3),Mervyn Peake,845.0,Gormenghast,Mervyn Peake
10,675.0,Ender's Shadow (The Shadow Series  #1),Orson Scott Card,725.0,Ender's Game,Orson Scott Card
11,247.0,The Crucible: A Play in Four Acts,Arthur Miller,1294.0,The Crucible,Arthur Miller
12,1743.0,Xenocide (Ender's Saga  #3),Orson Scott Card,725.0,Ender's Game,Orson Scott Card
13,2119.0,Bitterblue (Graceling Realm  #3),Kristin Cashore,2424.0,Graceling,Kristin Cashore
14,691.0,Antigone (The Theban Plays  #3),Sophocles,86.0,Antigone,Sophocles
15,208.0,The Girl Who Played with Fire (Millennium  #2),Stieg Larsson,2445.0,The Girl with the Dragon Tattoo,Stieg Larsson
16,149.0,The Little House Collection (Little House  #1-9),Laura Ingalls Wilder,1016.0,Little House on the Prairie,Laura Ingalls Wilder
17,348.0,Blood Meridian  or  the Evening Redness in the West,Cormac McCarthy,159.0,Blood Meridian,Cormac McCarthy
18,772.0,A Study in Scarlet (Sherlock Holmes  #1),Arthur Conan Doyle,133.0,The Complete Sherlock Holmes,Arthur Conan Doyle
19,1994.0,Legend (The Drenai Saga  #1),David Gemmell,1859.0,Legend,David Gemmell
20,374.0,The Chosen (Reuven Malther  #1),Chaim Potok,2413.0,The Chosen,Chaim Potok
21,1415.0,Doomsday Book (Oxford Time Travel  #1),Connie Willis,1437.0,Doomsday Book,Connie Willis
22,719.0,Fire (Graceling Realm  #2),Kristin Cashore,2424.0,Graceling,Kristin Cashore
23,498.0,Trainspotting (Mark Renton  #2),Irvine Welsh,2373.0,Trainspotting,Irvine Welsh
24,1757.0,Second Foundation (Foundation  #3),Isaac Asimov,371.0,Foundation,Isaac Asimov
25,371.0,Faust  First Part,Johann Wolfgang von Goethe,95.0,Faust,Johann Wolfgang von Goethe
26,386.0,Neuromancer (Sprawl  #1),William Gibson,564.0,Neuromancer,William Gibson
27,852.0,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,1010.0,The Dispossessed,Ursula K. Le Guin
28,559.0,1Q84 (1Q84  #1-3),Haruki Murakami,981.0,1Q84,Haruki Murakami
29,2242.0,Life After Life (Todd Family  #1),Kate Atkinson,493.0,Life After Life,Kate Atkinson
30,1666.0,The Physician (Cole Family Trilogy  #1),Noah Gordon,1352.0,The Physician,Noah Gordon
31,1866.0,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,192.0,The Long Goodbye: A Novel,Raymond Chandler
32,2084.0,Master & Commander (Aubrey & Maturin  #1),Patrick O'Brian,917.0,Master and Commander,Patrick O'Brian
33,246.0,HowlÕs Moving Castle (HowlÕs Moving Castle  #1),Diana Wynne Jones,1271.0,Howl's Moving Castle,Diana Wynne Jones
34,1240.0,Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,369.0,Labyrinths,Jorge Luis Borges
