Rank, Book_Title, Author,Column1
1,The Hunger Games (The Hunger Games  #1),Suzanne Collins,4.33 avg rating — 8 536 472 ratings
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.50 avg rating — 3 337 184 ratings
3,Pride and Prejudice,Jane Austen,4.29 avg rating — 4 206 421 ratings
4,To Kill a Mockingbird,Harper Lee,4.26 avg rating — 6 038 493 ratings
5,The Book Thief,Markus Zusak (Goodreads Author),4.39 avg rating — 2 520 026 ratings
6,Twilight (The Twilight Saga  #1),Stephenie Meyer,3.65 avg rating — 6 494 922 ratings
7,Animal Farm,George Orwell,3.98 avg rating — 3 823 106 ratings
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61 avg rating — 132 467 ratings
9,The Chronicles of Narnia (The Chronicles of Narnia  #1-7),C.S. Lewis,4.27 avg rating — 644 558 ratings
10,The Fault in Our Stars,John Green (Goodreads Author),4.14 avg rating — 5 069 662 ratings
11,The Picture of Dorian Gray,Oscar Wilde,4.12 avg rating — 1 503 062 ratings
12,The Giving Tree,Shel Silverstein,4.38 avg rating — 1 113 812 ratings
13,Gone with the Wind,Margaret Mitchell,4.31 avg rating — 1 202 852 ratings
14,Wuthering Heights,Emily Brontë,3.89 avg rating — 1 780 587 ratings
15,The Perks of Being a Wallflower,Stephen Chbosky,4.23 avg rating — 1 769 223 ratings
16,Harry Potter and the Sorcerer’s Stone (Harry Potter  #1),J.K. Rowling,4.47 avg rating — 9 900 439 ratings
17,Jane Eyre,Charlotte Brontë,4.15 avg rating — 2 075 451 ratings
18,The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan (Goodreads Author),4.30 avg rating — 2 947 012 ratings
19,The Great Gatsby,F. Scott Fitzgerald,3.93 avg rating — 5 158 096 ratings
20,The Little Prince,Antoine de Saint-Exupéry,4.32 avg rating — 2 078 760 ratings
21,The Da Vinci Code (Robert Langdon  #2),Dan Brown (Goodreads Author),3.91 avg rating — 2 332 604 ratings
22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06 avg rating — 558 701 ratings
23,Crime and Punishment,Fyodor Dostoevsky,4.26 avg rating — 885 932 ratings
24,Memoirs of a Geisha,Arthur Golden,4.15 avg rating — 1 987 267 ratings
25,Divergent (Divergent  #1),Veronica Roth (Goodreads Author),4.15 avg rating — 3 924 523 ratings
26,Les Misérables,Victor Hugo,4.20 avg rating — 792 142 ratings
27,Lord of the Flies,William Golding,3.69 avg rating — 2 872 973 ratings
28,Romeo and Juliet,William Shakespeare,3.74 avg rating — 2 576 876 ratings
29,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,4.31 avg rating — 965 777 ratings
30,City of Bones (The Mortal Instruments  #1),Cassandra Clare (Goodreads Author),4.07 avg rating — 1 984 781 ratings
